Dataset,Network_Type,Topology,Pattern,Pattern_Size,Threads,Time_s,Result_Count,Throughput,Speedup,Efficiency
wiki,social-political,sparse-high-degree-variance,triangle,3,1,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,triangle,3,2,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,triangle,3,4,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,triangle,3,8,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,P1,4,1,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,P1,4,2,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,P1,4,4,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,P1,4,8,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,P2,5,1,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,P2,5,2,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,P2,5,4,FAILED,0,0,0,0
wiki,social-political,sparse-high-degree-variance,P2,5,8,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,triangle,3,1,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,triangle,3,2,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,triangle,3,4,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,triangle,3,8,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,P1,4,1,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,P1,4,2,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,P1,4,4,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,P1,4,8,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,P2,5,1,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,P2,5,2,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,P2,5,4,FAILED,0,0,0,0
enron,communication,core--moderate-clustering,P2,5,8,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,triangle,3,1,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,triangle,3,2,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,triangle,3,4,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,triangle,3,8,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,P1,4,1,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,P1,4,2,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,P1,4,4,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,P1,4,8,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,P2,5,1,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,P2,5,2,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,P2,5,4,FAILED,0,0,0,0
dblp,collaboration,scale-free-high-clustering,P2,5,8,FAILED,0,0,0,0
