Dataset,Pattern,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,VertexMem_MB,MiniGraphMem_MB
wiki,triangle,1,0.00342921,0.0162268,608389,3.74929e+07,0.00,0.00
wiki,triangle,2,0.000516666,0.0172181,608389,3.53343e+07,0.00,0.00
wiki,triangle,4,0.000538042,0.0178372,608389,3.41079e+07,0.00,0.00
wiki,triangle,8,0.000504666,0.0193599,608389,3.14253e+07,0.00,0.00
wiki,P1,1,0.000537708,0.0182305,608389,3.33721e+07,0.00,0.00
wiki,P1,2,0.0005515,0.019334,608389,3.14672e+07,0.00,0.00
wiki,P1,4,0.000519,0.0173201,608389,3.51262e+07,0.00,0.00
wiki,P1,8,0.000514041,0.0188138,608389,3.23373e+07,0.00,0.00
wiki,P2,1,0.000528167,0.017815,608389,3.41505e+07,0.00,0.00
wiki,P2,2,0.000530167,0.0179714,608389,3.38531e+07,0.00,0.00
wiki,P2,4,0.000536417,0.0176143,608389,3.45396e+07,0.00,0.00
wiki,P2,8,0.000526292,0.0169385,608389,3.59176e+07,0.00,0.00
enron,triangle,1,0.00692788,0.0166936,727044,4.35523e+07,0.00,0.00
enron,triangle,2,0.00102196,0.0177898,727044,4.08686e+07,0.00,0.00
enron,triangle,4,0.00103479,0.0167111,727044,4.35067e+07,0.00,0.00
enron,triangle,8,0.000984167,0.0159655,727044,4.55386e+07,0.00,0.00
enron,P1,1,0.00102092,0.0156337,727044,4.65049e+07,0.00,0.00
enron,P1,2,0.000987958,0.0171686,727044,4.23472e+07,0.00,0.00
enron,P1,4,0.000989375,0.0165597,727044,4.39044e+07,0.00,0.00
enron,P1,8,0.00102871,0.0154835,727044,4.6956e+07,0.00,0.00
enron,P2,1,0.00102942,0.0154473,727044,4.7066e+07,0.00,0.00
enron,P2,2,0.00106646,0.0155333,727044,4.68057e+07,0.00,0.00
enron,P2,4,FAILED,FAILED,0,0,0,0
enron,P2,8,0.00104179,0.0158378,727044,4.59056e+07,0.00,0.00
dblp,triangle,1,0.02202,0.0438643,2224385,5.07106e+07,0.00,0.00
dblp,triangle,2,0.00638604,0.04547,2224385,4.89198e+07,0.00,0.00
dblp,triangle,4,0.00606487,0.0414273,2224385,5.36937e+07,0.00,0.00
dblp,triangle,8,0.00598629,0.0472702,2224385,4.70568e+07,0.00,0.00
dblp,P1,1,0.00615783,0.043372,2224385,5.12861e+07,0.00,0.00
dblp,P1,2,0.00600717,0.0434102,2224385,5.12411e+07,0.00,0.00
dblp,P1,4,0.00602975,0.043104,2224385,5.16051e+07,0.00,0.00
dblp,P1,8,0.00596058,0.042138,2224385,5.27882e+07,0.00,0.00
dblp,P2,1,0.00596604,0.0428149,2224385,5.19535e+07,0.00,0.00
dblp,P2,2,0.00597833,0.0425113,2224385,5.23245e+07,0.00,0.00
dblp,P2,4,0.00606379,0.0432855,2224385,5.13887e+07,0.00,0.00
dblp,P2,8,0.00604013,0.0437132,2224385,5.08859e+07,0.00,0.00
