Dataset,Pattern,Threads,CodeGen_Time,Execution_Time,Result_Count,Memory_MB,Throughput
wiki,triangle,1,FAILED,FAILED,0,0,0
wiki,triangle,2,FAILED,FAILED,0,0,0
wiki,triangle,4,FAILED,FAILED,0,0,0
wiki,triangle,8,FAILED,FAILED,0,0,0
wiki,P1,1,FAILED,FAILED,0,0,0
wiki,P1,2,FAILED,FAILED,0,0,0
wiki,P1,4,FAILED,FAILED,0,0,0
wiki,P1,8,FAILED,FAILED,0,0,0
wiki,P2,1,FAILED,FAILED,0,0,0
wiki,P2,2,FAILED,FAILED,0,0,0
wiki,P2,4,FAILED,FAILED,0,0,0
wiki,P2,8,FAILED,FAILED,0,0,0
enron,triangle,1,FAILED,FAILED,0,0,0
enron,triangle,2,FAILED,FAILED,0,0,0
enron,triangle,4,FAILED,FAILED,0,0,0
enron,triangle,8,FAILED,FAILED,0,0,0
enron,P1,1,FAILED,FAILED,0,0,0
enron,P1,2,FAILED,FAILED,0,0,0
enron,P1,4,FAILED,FAILED,0,0,0
enron,P1,8,FAILED,FAILED,0,0,0
enron,P2,1,FAILED,FAILED,0,0,0
enron,P2,2,FAILED,FAILED,0,0,0
enron,P2,4,FAILED,FAILED,0,0,0
enron,P2,8,FAILED,FAILED,0,0,0
dblp,triangle,1,FAILED,FAILED,0,0,0
